3 3 111010010	ACT CAT
7 7 1011110100000010011111111010100111110010100001000	CHEST CYST ETCH SCYTHE SECT TECH THEY
11 10 00001111000000010010000001110101001110000010010101011111110010101010111101010111001110000010010000000000100000	AHEM ARE ARM EAR ERA HAM HAMMER HARE HAREM HARM HEAR HEM HER MAM MAR MARE RAM
9 7 000000001001111001000101111010101001111111100010101000011110000	BEER BRED BREED DRUB REBUKE REBUKED REEK RUDE
9 7 000100000001111000000101001011101111001000101111111100000000100	CREVICE EVE EVER ICE IRE RICE VEER VICE VIE
8 7 01111111010100001111000000100000001011110010000001111000	ANNEX ANNEXED AXE AXED DEAN NAN NEED
7 6 111111110010011001111111100110000000011110	DOCS DOES DOSE FEDS FOES SCOFF SCOFFED
12 12 100000000000100001000000111101000000101001000000001001000000001001001000001000001000001001111000011111001111010101000101010111101111111100000101	HORN HOUR IONS IRON NOURISH ONUS OURS RHINO RUIN RUNS RUSH SHIN SHORN SHUN SOUR URNS
8 8 0111111001001000011110000001010010111101100101011000111110000000	HALO HOOP HOOPLA HOP LAP LOOP OPAL PAL POLO POOL
10 8 00000111110001000000001111000101010000011111101111010010010101111001010000111101	GIRL GLEN GRIN LIEN LINE LINER LINGER REIGN REIN RILE RING
8 7 00001010001111110010101010101111111100101010000010000000	GONE GONER GOVERN GROVE OVEN OVER ROVE
11 11 0000001000000101111000011110100000010111100010101001010100010011111000000101010001111110100000100000000001000000011111000	ACED ACHE ACHED CAFE CHAD CHAFE CHAFED CHEF DECAF EACH FACE FACED HEAD
13 10 0011110100000001001011100011110111011100001000001010011110000001001010000000000100100111111011110010000000001001011110000111100000	DOLE DUE DUEL DUO ELF FED FEUD FLED FLU FLUE FOE FOLD FOUL FOULED FUEL LED LODE LOUD OLD
12 10 000001010000000011110000000001010100001111010100001000111110111100000100010101111111111101000000000111100000000001000000	DEEP DELL EEL ELSE PEEL PLED SEE SEEP SELL SLEEP SPED SPEED SPELL SPELLED
12 11 000100000000000111000000011101000001010101000001011100001111001000001001111000001001100000111101111010100001001110100000001011100000	ADO AND ANY ANYBODY BAD BAN BAND BANDY BOD BODY BOND BONY DAB DAY DON NAB NAY NOD YON
12 10 000011110010000010101010000011111010111110101010000100001111010100001010111100000010010000000000111111000000010000000000	ACRE CAKE CARE CARER CRACK CRACKER CREAK RACE RACER RACK RAKE RERACK
12 11 000111001000000101001111011101111001001000000101001110001111000010000100011110011110010100010000111101111110010000010000000000010000	DEN DENT DUET DUH DUNE END HEN HUE HUNT HUNTED HUT NUDE NUT TEN TEND THE THEN THUD TUNE TUNED
6 6 111100000001111111101001111101101000	KITE KITTEN KNIT TENT TINE TINT
6 6 011110001010001110000101111111000001	DOE HOE HOOD HOODED ODD ODE OOH
11 9 001000111010111101010110101110101111110101111000000010110000000101100000000001000000000010000000000	ACCEDE ACCEDED ACE ADD CAD CEDE CEDED DAD DEAD DECADE DEED
7 6 000111100010010111101010100111110000101000	GEAR GRAY GRAYER GREY RAGE YEAR
7 7 1001111100101010011101010100101111011100001000000	ALL ALT APT LAT PALATAL PALL PAT TALL TAP
10 9 000100000001010111101111000000010001111111100001001001111110111101010001011110000111010000	DEMO DOER DOME DORM DORMER ERR MODE MORE ORDER ORE RED REDO REM ROD RODE
11 9 111110000000000001111000001010101000111101010100101111101111000101010100000010111101111100010000000	EWES SEED SEWED STEW STEWED SWEDE SWEET TEES TWEED WEDS WEED WEST WETS
10 8 00111011110010100000111011100010000011101111001010000111111000010100000001010000	DEN DOE DON DONE END FEN FEND FOND NOD NODE ODE OFF OFFEND ONE
10 8 00000001000000000100000000010000001111000111101001010010111111111110010100000001	ILLNESS ILLS ISLE LENS LESS LIES SILL SINE SINS
9 9 001111111000000101011110111000000010111101110100000100111011100001001000001111000	AAH ABS AHA ASH BAH BAS BASH BAT BATH HAS HAT SABBATH SAT STAB TAB
8 7 00111100100001011000010110101111101010010010111101111001	DIME DIMS MEDS MESS MIDS MISS MISSED SEMI SIDE
7 6 000000100001110000101001111000100101111110	BIB BIO BOT BOTH HIT HOBBIT HOT
8 8 0011110010000000100111001001010010010111101111011010000111100000	BLOB BOB BULB BULBOUS BUS LOB SLOB SOB SOUL SUB
7 7 0000010000111101010100101010011101000000101111010	EEK EKE JEER JERK JERKIER REEK
13 12 000000010010000001111001000000100100101001010011111101111000001010010000111101111100001000110000100100011111011110000101001000000000111100000000010000000000	LEST LETS LURE LUST LUSTER LUTE REST RESULT RULE RUSE RUST RUSTLE RUTS SLUR SURE TRUE USER
12 9 000001110000000001011100000111010100000100000111011100000001001000101111001110101000000010111100111111101000	BEG BEST BET BIG BIGGEST BIT BITE EGG GET GIG GIST GIT ITS SET SIT SITE TIE TIS
11 10 11111010000000000100000001001111111111110100100100001001111000010010101011100101110100001000111000000001000000	COY CUSHY HOLY LOCUS LOUSY LUSH OUCH SHY SLOUCH SLOUCHY SLY SOY SUCH YOU
9 8 001110101001011101011110111000100101000101000111111100000001000000001000	AIR ARE EAR EARN ERA NEAR RAIN RAINIER RAN RARE REAR
12 12 000000100000000001111010001000101111011111101010001010011110001011110000111110010000000100010000001111100000000100000000000100000000000100000000	DELI DELVE DEVIL DIVE EVIL IDLE LEVIED LIED LIVE LIVED VEIL VEILED VIED VILE
13 12 000000101000000000111111000011101010000001010101111111101010100100100111100010111000100001010000101111101110111100000001001010000000111101000000010000000000	ABLE APACE APE BALE CAB CABAL CABLE CAP CAPABLE CAPE LAB LAP PACE PAL PALACE PALE PEA PEAL PLACE PLEA
10 10 0011110001000101000100010111111111010101100000111111110001011001010000000101000000111100000000010000	ALDER DALE DARE DEAL DEAR EARL LARD LARDER LEAD RARE READ REAL REAR
12 10 000000000100000000011110000100010100000100011110100111110010111100101111100100101010100000101000100000111111000000101000	CORE COURSE CUES CURE CURSE EURO ORES ROSE ROUSE SCORE SCOUR SORE SOURCE
15 13 000001000000000000011110000000000001010111111000001010000000000111110001000000100001111100000100000101000011110001111111010000000101000111101111101000010100100000000000111100000000000100100000000	ACORN CAROL COAL COLA COLON COOL CORAL CORN CORONA CORONAL CROON LOAN LOON ORAL ORCA RACOON ROAN
8 7 10000101100011111000010110111111001010000111100000101000	NOPE OPEN PENT PEON POET POTENT TENT TOTE
9 7 001111100000000001100101111100100101101111111100100101111100000	QUART QUARTER RATE RATER TEAR TERRA TRUE TRUER
7 6 111111110001001000101100111100000010111101	ANTI MAIN MINI MINT VAIN VITAMIN
11 10 00000010000000000100000000111111100000010000000011111100100000010011110111100010101001000111110000000010100000	CLOD CODDLE CODDLED CODE CODED COED COLD DOLE DOLED LODE
14 11 0000001011100000011110101000000010111011100000101000101001111000000111010100111101001111100101110001010001010000010000010000000100000000000000001111100000	ACE ACED ALE AWE AWED CLAD CLAW CLAWED DECAL DEW LACE LACED LAD LAW LED LEWD WAD WADE WED WELD
11 11 0000011111000100100010001111000100010010111101111001000000101111110001010100011110101000101001000001111010000010100000000	LEMON LENT LONE MELON MELT MOLE MOLT MOLTEN MOTE MOTEL NOEL NOTE OMEN TOME TONE
7 6 000001010011111111010100101010011110000010	AUTO GATE GOAT GOUT OUTAGE TOGA
15 12 000000000010000000000000111100000000001010100010000011110100111111001001111010000111111010010100010001010010101111001111011111010000010000101000000010000111100000010000001000000000	DEER DENT DETER ENTER ENTERED ENTREE NEED NERD REED REND RENT RENTED TEEN TEND TENDER TERN TREE TREND
8 8 1110000110111101101001011001110100001000001111110001010000111100	AFAR AFRAID AID AIR ARID FAD FAIR FAR FIR RAD RAID RID
9 7 000001111000000100000000100111111101001001001001001111001111001	ACHY ARCH ARCHWAY AWAY AWRY CHAR RACY WARY
7 6 111110110001011001111100010010000001011110	CAN CLAN HAUL HULA LAUNCH LUNCH
10 8 10000000001001111010100100111111110010100001111010000001001011110100100000011110	FOUR FURS ONUS OURS ROOF RUNS SOON SOUR SUNROOF SURF URNS
8 8 0010000001111001001011111010100110111101100001001011111110000100	DATE DEATH HATE HATED HEAD HEAT HEATED HEED THEE
8 7 10111110100000001000101011111010101011111010101001111000	EDGE EDGER EDGY EYED GREED GREEDY GREY REEDY
10 9 010010000111111101010100101111010010010111110011110010101000011110100000101111000000100000	DELI DELL DILL FELL FIELD FILE FILED FILL FILLED FLED IDLE LIED LIFE
10 10 0000111100000010100000001111100111101010100100001010011111111111000000100000000010111110001000000000	AGENT ANTE EATEN GATE GENE GNAT NEAT NEGATE TANG TEEN TEENAGE
13 10 1111011110100010100000011101011110111010101010010001010001111011101000100001000001000011110000101111000000011100100000000010000000	ART AUTHOR AUTO HART HAT HOT HOUR HURT OAR OATH OUR OUT RAT ROT ROUT RUT TAR THOU THRU TOUR
13 10 0111100000000010101000000001011110001001111010010100100001001111110000000101001111011110100001001001010000111100001000010010000000	APES PASS PASSE PASSIVE PAVE PEAS PIES SAVE SEAS SIPS SPAS SPIES VASE VISA VISE
8 8 0011111100101010111011111000000011101111001000000111100000100000	ITS MIST MUM MUST SIM SIT SMUT SUIT SUM SUMMIT TIS
12 9 000001111111100001000000100011111010101001001010111101001010001011111010011110100010001010100010000111100000	DEER DEFER EVER FEED FEEDER FEVER FEVERED FREE FREED REED REEF VEER VEERED
10 8 00010000000001111100010100000011110000000100101111011110101000001010100001111110	BODE BOOED BOOM BOOMED DEMO DOME DOOM MODE MOOD OBOE
13 10 0010111111000001000000000000100001000001111110111100000100010010001111111001110100000100010111011101111000101010010000011101111000	ETHYL GEL GENT GENTLY GET GLEN HEN HEY LEG LENGTH LENGTHY LET LYE NET TEN THE THEN THEY YEN YET
9 8 001000001101000001111101111100001000111111100000101000001111000000100000	DIFFUSE DUE FED FEUD FIFE FUSED SIDE SUED USED
10 10 0000001000010011110001111010000100101111111110000101000000010001111111000001001000000100100000011110	APART MART PARA PART RAMP RAMPART RAPT TAMP TARP TRAM TRAMP TRAP
7 6 000100010011111001010100111111110100001000	AGED AGES EGGS GAGS SAGE SAGGED
10 8 00000111100000010101000101111100010101010101111001111100000101000011110100000001	DRUNK DRUNKEN DUKE DUNE DUNK NUDE NUKE RUDE RUNE UNDER
8 8 1010000010111111111000101010111000000100010111001111000001010000	FEN FIN FINE FUN FUSE INFUSE SIN SINE SUE SUN USE
14 13 00000101000000000011110000000000010101000000111101111000001000000100000010001111000011111010101000000010111110010001111010100100001000101001000000000010010011111100100100000000011111	BEER BEET BELT BERET BERM EMBER LEER MEET MELT MELTER MERE METER REBEL REEL TERM TREBLE TREE TREMBLE
11 11 0011100000000101000000111011111000100010000011100111111100000001011010000111111110000101101000111100000001000000000010000	DID DIED DIP DIRE DRIED DRIP IRE PER PIE PRIDE PRIDED PRIED RED REP RID RIDE RIP
9 8 000000100010001111010100100111100100010111100010101000010111110010101000	CHUG COUGH GORY GROUCH GROUCHY OUCH ROUGH YOUR
7 6 111111010010001001111111101000000101111010	BABE BARB BARBER BARE BEAR RARE REAR
13 11 10111111100001000001000000111011111100010100010100101110001011110010000101001011100000011110010001001000011110111110000001010010000000111100000	DEER DEN DUD DUDE DUE DUN END ENDED ENDURE ENDURED NEED NERD NUDE REDDEN REED REND RUDE RUN UNDER URN
11 9 000001111000001010010000111100100010101111011111000100101001001001010010011110111100000100001000001	ARMS ARMY ASHY HAMS HARM MARSH MARSHY MASH RAMS RASH RAYS SHAM YAMS
9 8 000111100000100100111111101000100101111101001001001111011111000001001000	BIOTECH BITE BOTCH BOTH CITE ECHO ETCH ETHIC ITCH TECH
7 7 0000001000000100011110010101011111100101001111000	HUGE HUGER HUNG HUNGER RUNG URGE
12 9 000000000101010000111111010000000101010100010101010100111101111100010001100111111001111100000000100000000000	DEED DEVISE DEVISED DIVE DIVED EDDIES SEED SIDE SIDED SIEVE VIED
12 12 000000100000000000101111000111101010000100111110000100001010111100000010100001111100111101010000100101010000001111010000000101010000000000011111	INKS IRES IRKS REIN RESIN RINK RINSE RISE RISEN RISK SINK SINKER SIRE SIREN SKIER SKIN
9 9 100100100101111111100100100111101111000001000000101001000111101000100001011110001	FINS FIRS FISH FURNISH FURS RUNS RUSH SHIN SHUN SURF URNS
7 6 111100000000000111111010100111111010101001	DEEM MEOW MEOWED MOWED OWED WEED
14 13 00000010000101000000100001110000001011110100000010001001000000100011100000101000001010001000010111111111001111001000101001010010111110111100100000101000001000001010000010001111100000	EWE HEIR HEN HERE HEREIN HEW HEWN HIRE NEW NEWER RENEW WEE WERE WHERE WHEREIN WHINE WHINER WHIR WIN WIRE
7 7 0111101000000100011110101001111100101011110100001	BELL BLUE BULL BULLPEN LUBE NULL PULL
7 7 1111000000001000011111111010100101011110101000010	BANE BATTEN BEAN BEAT BENT BETA TENT
12 9 111000010100101110010100111010011100010011110100111000101111001011100101001110000001000010111101000010000000	APE APT ATE ATOP EAT OAT PAT PATE PEA PEAT PET POET POT TAP TAPE TEA TEAPOT TOP TOT TOTE
13 10 0111111000000000000001000000000010100000000101011110000111111001000001010010100111111101010000010010111111111011110000000000100000	INJURE INURE JUNIPER PIER PINE PRUNE PUNIER PURE RIPE RIPEN RUIN RUNE UNRIPE
10 9 100000111110000010011000001001100000111110000000101111001010100101111000010010000001111000	EARL LAIR LEER LIAR RAIL RAZE REAL REALIZE REEL RILE ZEAL
8 8 0101111101000000011110000100000011111110101000001111000010100000	KAPPA PAIR PAPA PAPRIKA PARA PARK PARKA
9 7 111100001100000101111100101101010101101111101001010100000011110	DONE DOWN ENDOW NODE OWED OWNED WOOD WOODEN WOOED
10 9 101111000010100100001111010000101011111000101001000000100100000011110000001000000001111111	BERRY BEVY BRAVE BRAVER BRAVERY RAVE VARY VERB VERY YEAR
9 7 011111000000000010010000010111101111010101010011111010000101010	AMEND DAME DEAN MADE MANNED MEAD MEND NAMED
12 11 000101111000101111001000100101001000101111001111101000000100111110000100101000111100000010101000000010111100000010101000000010000000	DIET EDIT SIDE SITE SITED STEW TIDE TIED TIES WEDS WEST WETS WIDE WIDEST WISE WITS
14 10 00000011110000000000010100000000111101111000001000000010001011101011111111001010101010101110111100101110001010001000111110000010000000100000	ADS AIL AND DIAL DIN ISLAND LAD LAID LAIN LAND LID NAIL NIL SAID SAIL SAND SIN SLAIN SLID SNAIL
9 7 000000100010111110111100100010111100010101000000001000001111111	DIME DIMS MEDS MIDS MIDSIZE SEMI SIZE SIZED
11 10 00010111111000100000010101110000101110101111010011110001110010100000100011100011110101110000111010100001000001	ALE ALL ALT ATE AWE EAT LAT LATE LAW LET TALE TALL TEA TEAL TELL WALL WALLET WELL WELT WET
9 7 111100100100100100100111100111100101001000001001000001001111111	BITS BUST BUTS SITS STUB SUBS SUBSIST SUIT TUBS
7 6 111111100100011111001100000010111101000000	AFT FAT FATE FEAT FETA TAFFETA
9 8 000000001111111001000101001000101111001111001001010001001111001001010000	AMASSED DAMS MASS MASSED MESA MESS SAME SEAM SEAS
13 12 000000111100000000010100000000111011111011101000001001011100010101111000001111001001111100011110100010001000010000000100111110000000000100000000000010000000	DOE DOSE DOUSE DUH DUO HOE HOSE HOSED HOUSE HOUSED HUE ODE SHE SHED SHOE SOD SUE SUED USE USED
9 8 011111100000000001111100001101000001101001111101111010100001010100001111	AMEN EARN MANE MARE MEAN MEANER MERE NAME NEAR RENAME
7 6 100010011111111000101100111100000010111100	DIPS INSIPID NIPS PINS SNIP SPIN
12 12 000000001000010001001010010011111010010001001111010111101010010100000010000100000010111101000000001001111100001001010100001111010100000000111100	GUSH GUSHER HERS HUES HUGE HUGER HUGS RUGS RUSE RUSH SHRUG SURE SURGE URGE USER USHER
8 6 000111110001000111110101100101011001010010010100	CANAL CANOLA CLAN COAL COLA LOAN
13 13 0000100000000000111110000000001001001001111110111110000010010010000000011111000000001001010000000111101000011110010100000010010010000111101011100000010111000000001110100	COD CODE CODED CODER COED CORD CORDED CORE CORED CREDO DECOR DOC DOE DOER ODDER ODE ORE REDO ROD RODE
9 9 000001110111101010100111010100100111100100100100000101100001111000001001000001111	AFRO ALL FALL FAR FLORAL FOAL FOR FORA FRO LOAF OAR ORAL ROLL
11 11 0001011110100111101001000101010011111010111110000000000111101001001001010010000010100100001111111000001010010001111100100	ALLUDE ALLUDED DALE DEAD DEAL DELL DUAL DUDE DUEL DULL DULLED LADLE LAUD LAUDED LEAD
9 8 011110000010010100111011110100000101101111111111000001101000001001000001	BED BEE BEER BRED BREED BREEDER DEER ERR ERRED RED REED
8 8 0100000001001111010010100100101001011110111100000101000000010000	BLOT BOLO BOLT BOOT LOOT TOOL TOOLBOX
6 6 111100000001101111101001111111101000	BEND DUNE MENU NUDE NUMB NUMBED
10 8 00010000000011111010100100101011110010101010001111111100101000100000000111111100	CAIRN CRAM CRANIUM CUMIN INCUR MAIN MANIC MICA RAIN RUIN
9 8 100000000100111111100101000101111010001001111111010010010011110011110000	EVIL ILL IVY LEVY LIE LILY LIVE LIVELY LYE VEIL VIE VILE YELL
9 7 111100101000001111100000101111111101100100000111100000000100000	BALD BALL BOLA BOLD BOLL DOLL LOAD ODDBALL
12 12 000010000000001011100000001110100000001011100000001001000000111001011110101001110100100000010100001111101111000010101000000010111100001111101000	ACE ACRE ARC ARCH ARE ARK CAKE CAR CARE CREAK EACH EAR ERA HACK HACKER HARK HEAR HER RACE REACH
11 10 01111100000000000010000011111100000010001000100100011111111000001010000101111100011110101000010100001111111000	DEEP PEEP PEST PETS SEED SEEP SPED SPEED STEEP STEP STEPPE STEPPED TEES
12 11 001111100000000000001000111100111000101000101111111111101010101000100111101110100100000010011100000011110100000010010000000000010000	CHECK CHI CHIC CHICK CHICKEN CHIN CINCH HEN HIKE ICE INCH INK KIN NECK NICE NICHE NICK
9 9 011111100010000000010000000010101000111101001100111101111101001100001111100000000	INTO PINOT PINT PINTO PITY POINT POINTY PONY TINY TYPO
6 6 001111100000100101101111100101111111	CRIER HEIR HIRE RICE RICH RICHER
13 12 000000001111100000010100001111011110000100100101010010011110101001111010010100001001001010000111100001000010010100000000001111000000000001000000000000100000	CLOT CLOUT COLT COUP CULT LOCK LOCKUP LOUT LUCK PLOT PLUCK POTLUCK POUT PUCK TUCK
12 10 100100010000111110111100100100010100101111110100000000001111000100000001000111010111000101011100000111110100000100000000	AGE AGREE EAGER EASE ERASE GAS GEAR GEE GREASE RAG RAGE SAG SAGE SEA SEAR SEE SEER
7 7 0101111010000001011111111001010100111110010100000	ONUS OURS RUNS SOJOURN SOON SOUR URNS
9 7 000101010100101111111111010100101111111100100000000100111110100	ACED ACID AIDE AIDED CADDIE DICE DICED DIED ICED IDEA
10 8 11111100000000000101000011111100101001010010101111011110010000101111000000000100	DIVE DIVED DIVIDE DIVINE DIVINED VEIN VEND VIED VINE
10 8 00000100000010011111001001001011111011101010001000101110100011101110001000100000	FORT FORTH FORTY FROTH FROTHY FRY HOT OFT ROT THY TOY TRY
11 10 00011110100000101001000001111010001010100100111101001010100010000101111001111000010010010000100100000001111100	DARE DEAR DEEP DEER DRAPE PADRE PARE PARED PEAR READ REAP REAPED REED
10 9 000111000100010111011111010101100000010111101111011010100000001111110000000001000001111100	DEN DEW DID DIN DINE DINED END NEW WED WIDE WIDEN WIN WIND WINDED WINE
13 12 000000100000000000010000000000001111100000000101000000000010111101111111010010000000001001000000000011111001111001001100100100111110010011110011111001000000	HEIR HEMS HERS HIRE IRES MESH MIME MIRE MISER RIMS RISE SEMI SHIMMER SHIRE SIMMER SIRE
9 9 001111111001001010111101111101001010100000000111100000001000000001000000011110000	LOPE LUTE PELT POET POLE POLL POLLUTE PULL TELL TOLL
13 12 000000010000000001111000000000100100100000010111110001111000101000010011111100111010001010001001000100000111101111111001010000000000111000000000010000000000	DELI ELF FED FIDDLE FIDDLED FIELD FILE FILED FLED IDLE IDLED LED LID LIDDED LIED LIFE
11 8 0011111000000101000000111011100101000001011110101110010101010011110010100101000101111010	ASH ASHY FLASH FLASHY FLAY FLY HALF HAS HAY LASH LAY SAY SHY SLAY SLY
9 8 000111111000000001010001111010101001111111101010101000010100000111100000	DEEPER DETER PEER PEERED PERT PETERED TEPEE TREE
8 8 1111000010100001101111011010100100001111000010100001111000001010	DONE DUNE NEON NODE NONE NOUN NUDE UNDO UNDONE
12 12 000000111100000000101000000000101000000111101111111101010010100101011110101111010010100000010000000000111101000000100001000001111111000000100001	ALES AWES LASS LAWLESS LAWS LESS SALE SAWS SEAL SEAS SELL SEWS SLAW SLEW SWELL WALL WELL
8 8 1111000100101001001111010010100111111100000101000011110000010100	DOOR DOTE ODOR RODEO ROOT ROOTED ROTE TORE TROD
8 8 0010111111111010001010101010101010111110101000101000001010000000	DEGREE EDGE EDGER EGRET GREED GREET GREETED
7 7 0000100000111101001010111101010100111110010001001	CEDE CONE DONE ENCODE NEED NODE ONCE
8 7 10000100101111111001010010011111111101000000010000000100	CLUNK CLUNKY LUCK LUCKY UNLUCKY YUCK
9 9 000000100000011110000010100101111111100010001101001111111110101101000100001111100	HUMP HURT MIRTH PRIM RUMP THRU THUMP TRIM TRIP TRIUMPH TRUMP
14 11 0001000000000000010111111000000100000000000111100111110001000000100101010000001111111111000010010110100111110101111100100001011010001000000100111111000001	DEED DELUDE DELUGE DELUGED DUDE DUEL DUELED EDGE EDGED ELUDE ELUDED GLEE GLUE GLUED LEDGE LUGE
10 8 01011110001111010000010101000001011110100100001010010000111100000010100000001000	BELL BIDE BILE BILL BILLED BLED DELL DILL LIBEL
9 7 100010100100011110100010100100111100111100000100101111100100000	COIN CONFINE FINE ICON INFO NEON NINE NONE
8 7 00000111000101011011111110010000100111000000100011111000	PLEXUS PLUS PULSE PUS SEX SUE SUP UPS USE
12 9 000000011110100000001010100001111010111101001111100101000100001111011110000100010100000000010100001111111000	ALIEN ANEW JAIL JAWLINE LAIN LANE LAWN LEAN LIEN LINE NAIL WAIL WANE WEAN
8 7 10000000111000001011111110101000111010000100100011111110	EGRET ERR GET GREET GREETER REGRET TEE TREE
11 10 00111111100001000000000010000111111111101001001010010010000100111100011110101000000101010000001111000000010000	DALE DEAD DEADLY DEAL DELAY DELAYED DYED EDDY EYED LADY LEAD LEADED
6 6 111100000001111111101001101111101000	DIME LIME MELD MIDDLE MILD MILE
12 11 000000001000000100101000000100101000000101111001000100101111000100100001000000111111010111101000111101011110010111101000010101001000	FIFE FIRE FIRS FISH FISHER FRESH FRIES HEIR HERS HIRE REFS RIFE RIFF SHERIFF SHIRE
11 9 001011110001010000000011110111111100000010011111000111100100000100001110011100000100100000001111000	CLIP EPIC ICE LICE LIE LIP NICE NIL NIP PEN PENCIL PIC PIE PILE PIN PINE
14 10 00001000000100000010100101000100111011110011111010010111010001111110010101010000010101010111000111000101010111000001010101000000010001111000	COD CODE COED COP COPE COPED COPSE DOC DOPE DOSE ODE OPS POD POSE POSED SCOPE SCOPED SOP SPEC SPED
9 7 111100001100100101100100101100111101100010101011110100000011110	AIRS ARISE EARS EASIER ERAS IRES RAISE RISE SIRE
12 12 001000100000001000100000111100111111101000100000111101111100100100001000000100001111001111001010000001011110000001010010000001111000000000010000	NOTE OTTER RENT ROTE ROTTEN TENOR TENT TERN TONE TONER TORE TORN TORT TORTE TOTE TROT
12 10 000001000000001111000000000101010001111111010001001000010111111000010101010111000100011101011100010101110000000100010000	EGO GIN GONE ION NIP NOPE ONE OPEN PEG PEN PEON PIE PIG PIGEON PIN PINE PING PONG
12 10 000100000000001111000000000101111110111101001000100001001111100000001010111101000010001001111110001001000010001111000010	DARE DARN DEAN DEAR DEER EARN EARNED ENDEAR NEAR NEARED NERD READ REED REND
9 8 111100101000001111011110101010001111010101000010111100010101000011110000	EARL HARE HAUL HAULER HEAL HEAR HULA HURL LURE REAL RULE
8 8 1111000000000100000111110001010001111110000100100000001011111110	CUFF FURS FURY SCRUFF SCRUFFY SCUFF SURF
10 8 00111101000000000111010001110111110010010100001111011110101000001010100001111000	AIL CAN CLAN COAL COIL COLA CON LION LOAN LOIN NIL OIL OILCAN
8 8 0000000110000001100000011000000110011111100101001001111011110100	DUNE HONE HONED HOUND HOUNDED NUDE UNDO
14 11 0000111100000000101001000000001110011100001110000001010001000000011111111000000001000010000101111100101001010000001110111110000010100101000000001111111000	ANT ANTI INN INSTANT ITS NAN NIT SAINT SAT SATIN SIN SIT STAIN STAT STINT TAINT TAN TINT TIS TITAN
11 10 00011110000000100100001111001010010010011110100000001001000011110110111101001101001010010010111100100100100000	LAME LATE MALE MALT MATE MEAL MEAT MELT METAL TALE TAMALE TAME TEAL TEAM
7 7 1000000100010011111101010100001111100100000011110	DELL DULL DULLER LURED RUDE RULED
7 7 0100001111111101000010111101001010000101000111100	COKE EYES KEYS SEEK SOCK SOCKEYE YOKE
8 8 0000000100000101000011110000010111111110100100001001111011110000	PORT POUR POUT PROP PURPORT PURR ROUT TOUR
14 11 0001011110000000010101000000000111110001001111010100010010000001000100111101010001001010111111010000100100010100001111100100000000000011111100000000010000	DEEM DEMO DOLE DOLED DOME DOMED LODE MEDDLE MELDED MODE MODEL MODELED MOLD MOLDED MOLE
9 8 000000001111100101010100101010101111011110100000010100000111100000010000	DUES DUPE PLED PULSED SLED SPED SPUD SUED USED
11 8 0000001000000011110000000010101001010101111110111100101101000111111111000000100000111111	AWED DATE DEATH HATE HATED HEAD HEAT THAW THAWED WADE WHAT WHEAT
11 10 00000001000111101110000000010111000111100100001000111001111000100010001111111100001001001000011110000000100000	ATE AUTO EAT OAK OAT OUT TAKE TAKEOUT TAU TAUT TEA TEAK TOE TOT TOTE TOUT
13 10 1111110000000000000011111101000000001001111000111110010100001010001010011111000111101010100000010100010000011110000000000100000000	CREED CREEK CREW CREWED DECK DECKER DREW REEK WEED WEEK WERE WRECK WRECKED
6 6 111100000000111101100101100101111111	BOBS BONY BOYS NOSY SNOB SNOBBY
13 13 0000101000000000111100000000001010011110111101111001010100010100111110011110010101010100000001111000000000010100000000011110000000001000000000000100000000001111100000000	AGES GAME GASES GEMS MAGE MAGS MASS MASSAGE MEGA MEGS MESA MESS SAGA SAGE SAGS SAME SEAM SEAS
11 8 0000000111111110111010100101011111001010010000011101111000000010000000111111000000001000	DUE DUEL DUET DUST LED LEST LET LUST LUSTED LUTE SET STUD SUE USE
13 10 0000101000000000010100010000011110001000010101000100011111101010000100010111111111010010100000101111010000010100100000011110000000	DELI DIED DIRE DRIED IDLE IDLED LIDDED LIED RIDDLE RIDDLED RIDE RILE RILED
12 10 111101001111010101111001011111001001010101001111010100000010000100010010000000011110000000010010000001111100000000010000	AGED DAZE DRAG GAZE GAZED GEAR GRAD GRADE GRAZE GRAZED RAGE RAGED RAZE RAZED
9 7 010001001010111101111101001010101111000101010000001010111101111	BAIL BALM BLAM GALA GLAM GLIB LAMB LIMB MAIL MAILBAG
7 6 111110000000010011111001010101111110010100	COLON COLONY COOL LOON LOONY ONLY
13 12 000100010000000010101000000011110100000000101010000100111101000010010000000101001000111111111110000001001001111011110111100101000010010111100000000001010000	HELL HELLO HILL HOES HOLE HOLLIES HOSE ILLS ISLE LIES LOSE OILS SHELL SHOE SILL SILO SOIL SOLE
8 7 00001010101111111000101010011110100100000001000001111000	DASH SHADOW SHOW SODA WADS WASH WHOA
11 10 11111011110000000100100001111001001010011111111100010000101000100001001001000010010010000111100000000001000000	DIPS DOES DOPE DOSE PIES PODS POISE POISED POSE POSED SIDE SPIED
12 10 000000000100000000111100000000000100001110001111001010000001111010000001010011110111011101010100000101111110000111010000	EVIL IVY LEVITY LEVY LIE LIT LITE LIVE LYE TIE TIL TILE VEIL VET VIE VILE YET YETI
12 11 000010000000000111100000000010111111001111100100010100100100010100001111111101001000010001001000000001111000000001000000111111000000	INSULT LINT LIST NITS NUTS SILT SLIT STUN SUIT SUNLIT TINS UNIT UNLIT UNTIL
9 9 000001001000101111001111001000101001001111001000010100000111110000010100111111100	ADAPT ADAPTED ADEPT DATA DATED DEAD PATE PEAT TAPE TAPED
